Name,Height,Weight,Nationality
K. Demirbay,183,71,Germany
R. Guerreiro,170,71,Portugal
A. Davies,185,77,Canada
D. Wass,181,74,Denmark
T. Koopmeiners,183,77,Netherlands
J. Veretout,177,67,France
P. Pogba,191,84,France
Jesús Navas,172,60,Spain
Ricardo Pereira,175,70,Portugal
Fabinho,188,78,Brazil
Saúl,184,75,Spain
L. Martínez,174,72,Argentina
Parejo,182,74,Spain
G. Lo Celso,177,68,Argentina
Roberto Firmino,181,76,Brazil
C. Biraghi,185,78,Italy
Cristiano Ronaldo,187,83,Portugal
F. Mendy,180,73,France
Neymar Jr,175,68,Brazil
G. Bale,185,82,Wales
R. Andrich,187,83,Germany
K. Laimer,180,72,Austria
M. Reus,180,71,Germany
M. Arnold,184,74,Germany
N. Kanté,168,70,France
A. Robertson,178,64,Scotland
A. Florenzi,173,67,Italy
17 S. Gerrard,183,83,England
Y. Carrasco,185,73,Belgium
Anderson Talisca,190,80,Brazil
Lucas Vázquez,173,70,Spain
Oscar,179,70,Brazil
Renan Lodi,173,68,Brazil
M. Faraoni,180,71,Italy
T. Savanier,172,69,France
N. Stanciu,170,63,Romania
L. Paredes,180,75,Argentina
J. Ward-Prowse,173,66,England
M. Casco,170,69,Argentina
R. Nainggolan,177,89,Belgium
K. Benzema,185,81,France
T. Kroos,183,76,Germany
17 P. Lahm,170,66,Germany
É. Banega,176,78,Argentina
Pedro Porro,173,69,Spain
A. Barák,190,86,Czech Republic
T. Partey,185,77,Ghana
A. Tchouaméni,187,81,France
Á. Di María,180,69,Argentina
19 Filipe Luís,182,74,Brazil
M. Kovačić,176,80,Croatia
H. Son,183,78,Korea Republic
T. Müller,185,76,Germany
Á. Correa,171,70,Argentina
Marcos Alonso,188,85,Spain
Sergio Ramos,184,82,Spain
M. Pjanić,178,72,Bosnia and Herzegovina
E. Buendía,172,65,Argentina
G. Bonaventura,181,75,Italy
16 Maicon,184,77,Brazil
G. Di Lorenzo,183,83,Italy
Y. Bissouma,182,80,Mali
M. Hamšík,183,73,Slovakia
22 Marcelo,174,75,Brazil
21 Hulk,180,85,Brazil
Raúl García,184,83,Spain
Rodri,191,82,Spain
T. Pobega,188,78,Italy
O. Zinchenko,175,64,Ukraine
E. Fernández,180,77,Argentina
Adryan Zonta,172,68,Brazil
Cucurella,172,66,Spain
Jonathan Viera,171,67,Spain
I. Rakitić,184,78,Croatia
T. Vilhena,175,70,Netherlands
M. Cornet,179,69,Côte d'Ivoire
Raphinha,176,68,Brazil
Arthur,171,73,Brazil
21 Santi Cazorla,168,65,Spain
Jorginho,180,68,Italy
J. McGinn,178,68,Scotland
M. Guendouzi,185,68,France
Sérgio Oliveira,181,78,Portugal
A. Rabiot,192,80,France
D. Klaassen,179,70,Netherlands
N. Fekir,173,75,France
P. Zieliński,180,75,Poland
H. Mkhitaryan,177,75,Armenia
E. Camavinga,182,68,France
Fabián,189,70,Spain
J. Milner,175,70,England
Ander Herrera,182,71,Spain
H. Herrera,185,78,Mexico
J. Álvarez,173,71,Argentina
R. Baku,176,75,Germany
V. Rongier,172,70,France
E. Haaland,195,94,Norway
M. Locatelli,185,75,Italy
L. Martínez,178,77,Argentina
D. Sow,184,76,Switzerland
19 Ramires,179,69,Brazil
M. Mount,180,74,England
F. Coquelin,176,74,France
Danilo,184,78,Brazil
D. van de Beek,184,74,Netherlands
J. Vardy,179,74,England
S. Fofana,185,74,Côte d'Ivoire
L. Provod,189,84,Czech Republic
V. van Dijk,193,92,Netherlands
Gerson,184,76,Brazil
R. Aliendro,173,72,Argentina
18 Gabi,181,74,Spain
Otávio,171,67,Portugal
K. Volland,179,85,Germany
M. Pašalić,188,82,Croatia
R. Kent,182,82,England
Álex Berenguer,175,73,Spain
Gedson Fernandes,181,71,Portugal
L. Torreira,166,60,Uruguay
A. Zambo Anguissa,184,78,Cameroon
R. Karsdorp,184,80,Netherlands
M. de Roon,185,76,Netherlands
C. McGregor,178,74,Scotland
João Moutinho,170,61,Portugal
22 M. Dembélé,185,85,Belgium
Bruno Guimarães,182,74,Brazil
João Félix,181,70,Portugal
M. Arnautović,192,83,Austria
Richarlison,181,71,Brazil
M. Ødegaard,178,68,Norway
Pedri,174,61,Spain
A. Doucouré,184,76,Mali
Gerard Moreno,180,77,Spain
P. Højbjerg,187,84,Denmark
Capa,175,75,Spain
22 Fernandinho,179,67,Brazil
L. Advíncula,180,80,Peru
P. Dybala,177,75,Argentina
R. Bentancur,187,73,Uruguay
D. Tadić,181,76,Serbia
T. Holeš,180,73,Czech Republic
B. Chilwell,180,77,England
19 F. Guarín,183,80,Colombia
L. Spinazzola,186,75,Italy
R. Delgado,178,70,Argentina
Carvajal,173,73,Spain
N. Mazraoui,183,62,Morocco
22 Pizzi,177,72,Portugal
A. Oxlade-Chamberlain,175,70,England
Gabriel,187,83,Brazil
15 Xavi,170,67,Spain
Portu,167,66,Spain
P. Ševčík,172,66,Czech Republic
Matheus Nunes,183,76,Portugal
R. Pereyra,182,77,Argentina
C. Roldan,173,75,United States
M. Antonio,178,82,Jamaica
W. Ben Yedder,170,68,France
R. Sterling,170,69,England
De Tomás,180,79,Spain
R. Montlaur,176,70,France
R. Gravenberch,190,79,Netherlands
D. Caligiuri,182,80,Italy
B. Saka,178,65,England
Gerson Armão,186,73,Brazil
Alex Sandro,180,80,Brazil
L. Stindl,181,80,Germany
K. Phillips,178,72,England
S. Żurkowski,185,77,Poland
C. Aránguiz,171,68,Chile
Melvin Parrela,188,88,Brazil
E. Mwepu,184,76,Zambia
Ronaldo Cabrais,177,75,Brazil
Andreas Pereira,177,70,Brazil
K. Tierney,178,70,Scotland
T. Meunier,191,90,Belgium
R. Rodríguez,182,77,Switzerland
Álex Moreno,179,68,Spain
22 M. Camara,182,75,Guinea
22 F. Gorriarán,168,68,Uruguay
J. Clauss,178,69,France
Y. Rakitskyi,185,83,Ukraine
F. Dimarco,175,75,Italy
S. McTominay,193,88,Scotland
J. Hofmann,176,73,Germany
A. Guardado,169,67,Mexico
22 J. Kucka,186,84,Slovakia
21 M. Parolo,184,75,Italy
Rafinha,174,71,Brazil
N. Zaniolo,190,75,Italy
I. Gueye,174,66,Senegal
M. Sanson,180,73,France
D. Kulusevski,186,75,Sweden
M. Lopez,167,58,France
22 Dani Alves,172,70,Brazil
F. Bernardeschi,185,77,Italy
E. Capoue,190,80,France
Gayà,172,66,Spain
Lucas Moura,174,70,Brazil
J. Maddison,175,73,England
C. Nielsen,182,76,Denmark
F. Aursnes,179,71,Norway
Morales,180,70,Spain
O. Kökçü,175,68,Turkey
M. Depay,176,78,Netherlands
E. Alioski,172,63,North Macedonia
Pedro Gonçalves,173,77,Portugal
R. Perraud,173,68,France
O. Tufan,179,80,Turkey
Muniain,170,66,Spain
A. Tameze,180,78,France
W. Ndidi,183,74,Nigeria
B. André,180,74,France
R. Bazoer,184,74,Netherlands
S. Serdar,184,75,Germany
N. Keïta,172,64,Guinea
Andeson Trigo,175,68,Brazil
I. Sangaré,191,77,Côte d'Ivoire
E. Pérez,178,77,Argentina
L. Sané,183,80,Germany
R. Faivre,180,69,France
Fernando,173,66,Brazil
R. Krunić,184,74,Bosnia and Herzegovina
A. Golovin,180,69,Russia
G. Hamer,169,61,Netherlands
A. Rebić,185,78,Croatia
M. Oršić,179,69,Croatia
Campaña,179,70,Spain
22 A. González,170,79,Mexico
Luis Milla,175,67,Spain
E. Skhiri,185,74,Tunisia
T. Teuma,176,73,Malta
Pedraza,184,73,Spain
P. Foden,171,69,England
Marquinhos,183,75,Brazil
L. Shaw,181,75,England
22 V. Moses,177,79,Nigeria
M. Dahoud,178,68,Germany
22 S. Aurier,174,74,Côte d'Ivoire
Allan,175,74,Brazil
A. Claude-Maurice,175,64,France
S. Lobotka,170,64,Slovakia
Clinton Mata,180,73,Angola
D. Cataldi,180,70,Italy
H. Ziyech,181,65,Morocco
D. Suárez,173,68,Uruguay
Gabriel Jesus,175,73,Brazil
A. Browne,173,71,Republic of Ireland
Hediselton,176,75,Brazil
E. Lamela,181,79,Argentina
21 A. Valencia,180,88,Ecuador
T. Souček,192,86,Czech Republic
Coutinho,172,68,Brazil
N. Dorsch,178,76,Germany
D. Rice,185,80,England
Ricardo Horta,173,63,Portugal
L. Faravelli,171,70,Argentina
21 S. Sessègnon,172,72,Benin
C. Erkin,181,72,Turkey
Diogo Gonçalves,177,70,Portugal
F. Chiesa,175,70,Italy
R. Jiménez,188,81,Mexico
H. Aouar,175,70,France
J. Tartt,178,84,England
V. Coufal,175,76,Czech Republic
N. Tagliafico,172,65,Argentina
M. Rashford,186,70,England
D. Olaru,177,71,Romania
R. Tapia,185,80,Peru
A. Young,175,65,England
P. Max,177,77,Germany
22 R. Sánchez,170,70,Paraguay
M. Götze,176,72,Germany
E. Višća,172,63,Bosnia and Herzegovina
R. Kristensen,187,70,Denmark
K. Thuram,192,81,France
D. Blind,180,72,Netherlands
L. Blas,180,70,France
A. Marušić,185,85,Montenegro
Pablo Fornals,178,67,Spain
A. Mooy,175,68,Australia
Iago Aspas,176,67,Spain
N. Gudelj,187,73,Serbia
Pedrinho,170,65,Portugal
L. Dendoncker,189,88,Belgium
M. Ozdoev,184,78,Russia
Welington Dano,178,69,Brazil
A. Thomasson,177,72,France
André Silva,185,84,Portugal
C. De Ketelaere,192,79,Belgium
V. Darida,172,67,Czech Republic
L. Majer,179,75,Croatia
Evander,179,76,Brazil
S. Armstrong,183,75,Scotland
22 S. Agüero,173,70,Argentina
22 F. Thauvin,181,77,France
Y. M'Changama,175,69,Comoros
R. Borré,174,70,Colombia
22 Fransérgio,187,82,Brazil
21 M. Nérez,178,69,Uruguay
A. Silva,178,68,Uruguay
S. Berghuis,182,75,Netherlands
Nuno Mendes,176,70,Portugal
J. Draxler,187,77,Germany
Unai López,170,69,Spain
D. Berardi,183,72,Italy
D. Núñez,186,80,Uruguay
R. Mahrez,179,67,Algeria
Azpilicueta,178,77,Spain
T. Hazard,175,71,Belgium
D. Zappacosta,182,75,Italy
D. Dumfries,188,80,Netherlands
E. Palacios,177,67,Argentina
M. Wittek,173,70,Germany
João Pedro,184,73,Italy
C. Immobile,185,85,Italy
R. Christie,178,71,Scotland
R. Bensebaini,187,85,Algeria
R. Freuler,181,80,Switzerland
Sergio Gómez,171,68,Spain
S. Gnabry,176,77,Germany
F. Ugrinic,184,88,Switzerland
L. Rodríguez,167,67,Argentina
Rubén Peña,170,65,Spain
21 S. Khedira,189,90,Germany
X. Schlager,174,78,Austria
Mário Rui,170,67,Portugal
C. Gakpo,189,76,Netherlands
M. Lemina,184,85,Gabon
A. Král,186,76,Czech Republic
D. Raum,180,75,Germany
D. de Wit,183,76,Netherlands
Oyarzabal,181,79,Spain
A. Haidara,175,72,Mali
U. Račić,193,81,Serbia
S. Schwab,183,77,Austria
S. Özcan,180,76,Turkey
22 G. Sigurðsson,186,77,Iceland
Iñaki Williams,186,80,Spain
J. Schlupp,178,72,Ghana
21 W. Rooney,176,83,England
N. Amrabat,179,77,Morocco
Unai Vencedor,176,71,Spain
Sergi Roberto,178,68,Spain
Juan Bernat,170,67,Spain
A. Bah,183,76,Denmark
20 Rômulo,178,72,Italy
D. Alli,188,80,England
Ismaily,177,82,Brazil
D. Zakaria,191,81,Switzerland
Thiago Mendes,177,75,Brazil
A. Ayew,176,72,Ghana
22 E. Pulgar,187,74,Chile
F. Midtsjø,175,68,Norway
J. Juranović,173,68,Croatia
A. Sánchez,168,62,Chile
C. Gallagher,182,77,England
T. Ndombele,179,76,France
I. Ilić,187,75,Serbia
Ó. Romero,176,74,Paraguay
J. Roussillon,175,80,France
M. Shaparenko,178,72,Ukraine
Isco,176,79,Spain
Roberto Torres,178,72,Spain
F. Acheampong,170,60,Ghana
S. Sturaro,181,80,Italy
A. Lacazette,175,73,France
20 J. Mathieu,189,84,France
İ. Kahveci,176,72,Turkey
D. Toköz,180,75,Turkey
L. Díaz,180,73,Colombia
21 Fábio Coentrão,179,66,Portugal
João Mário,179,73,Portugal
22 J. Vigón,168,67,Mexico
K. Kampl,178,66,Slovenia
A. Plea,181,79,France
D. Frattesi,184,74,Italy
18 J. Zúñiga,172,72,Colombia
M. Cash,179,74,Poland
22 M. Hinteregger,186,82,Austria
22 D. Sidibé,182,71,France
Miguel Crespo,183,78,Portugal
J. Lingard,175,60,England
P. Frankowski,175,70,Poland
17 J. Barton,180,70,England
G. Montiel,175,70,Argentina
Y. Belhanda,179,75,Morocco
L. Miranda,173,70,Argentina
J. Ito,177,68,Japan
E. Hazard,175,74,Belgium
Fernando,183,76,Brazil
A. Palavecino,179,74,Argentina
Marc Bartra,184,73,Spain
H. Hateboer,185,72,Netherlands
S. Zuber,182,74,Switzerland
A. Fulgini,183,71,France
M. Suárez,183,75,Argentina
S. Sensi,168,62,Italy
21 David Luiz,189,86,Brazil
A. Kramarić,177,73,Croatia
Éder Militão,186,78,Brazil
Moisés,184,76,Brazil
D. Criscito,183,75,Italy
Jaime Seoane,175,73,Spain
Javi Galán,172,70,Spain
K. Acosta,178,68,United States
J. Schmid,179,79,France
H. Traoré,175,71,Mali
17 D. Kuyt,183,84,Netherlands
Mauro Júnior,171,62,Brazil
22 Á. Romero,176,73,Paraguay
A. Maher,174,76,Netherlands
G. Laborde,181,78,France
Š. Vrsaljko,181,76,Croatia
J. Vertonghen,191,89,Belgium
P. Capelle,181,73,France
M. van Ginkel,186,82,Netherlands
N. Nández,172,70,Uruguay
J. Ramsey,180,72,England
Emerson,176,79,Italy
Jorge Andrão,177,75,Brazil
M. Wolf,188,81,Germany
N. Maksimović,189,78,Serbia
22 D. Kuzyaev,182,74,Russia
L. Kalvach,183,77,Czech Republic
A. Cresswell,175,66,England
O. Pineda,169,60,Mexico
22 E. Cavani,185,77,Uruguay
R. Falk,177,65,Denmark
Zubeldia,181,73,Spain
Dani Olmo,179,72,Spain
J. Gvardiol,185,80,Croatia
M. Sadílek,169,65,Czech Republic
L. Ivanušec,175,76,Croatia
F. Tait,175,70,France
M. Sissoko,187,91,France
A. Westwood,175,73,England
De Marcos,182,78,Spain
16 D. Pranjić,170,70,Croatia
S. Bergwijn,178,78,Netherlands
Diogo Dalot,184,76,Portugal
Marco Asensio,182,76,Spain
Mario Gaspar,180,77,Spain
A. Saelemaekers,180,72,Belgium
Pablo Sarabia,174,70,Spain
L. Sinisterra,172,60,Colombia
22 E. Zahavi,182,71,Israel
A. Gómez,167,68,Argentina
J. Lerma,179,70,Colombia
22 D. Lezcano,178,80,Paraguay
Y. Atal,175,66,Algeria
22 Gao Late,185,78,China PR
E. Bardhi,172,64,North Macedonia
Douglas Luiz,175,66,Brazil
Gonçalo Guedes,179,68,Portugal
V. Lazaro,180,75,Austria
R. Lukaku,191,94,Belgium
Daniel Bragança,178,71,Portugal
22 J. dos Santos,172,74,Mexico
O. Etebo,176,70,Nigeria
L. Ferguson,181,75,Scotland
S. Amallah,186,81,Morocco
M. Grujić,191,88,Serbia
A. Dixon,170,72,England
Rosival Dourado,175,70,Brazil
22 Marlos,174,76,Ukraine
D. Calabria,177,70,Italy
D. Rojas,183,75,Mexico
L. Zelarayán,172,70,Armenia
M. Bero,181,81,Slovakia
22 Y. M'Vila,182,80,France
Puado,177,69,Spain
Y. Yotún,172,69,Peru
M. Lazzari,174,67,Italy
L. Romo,182,84,Mexico
16 Marquinho,182,79,Brazil
P. Groß,181,78,Germany
L. Olaza,175,70,Uruguay
J. Brownhill,180,69,England
F. Neuhaus,185,77,Germany
Ferran Torres,184,77,Spain
Y. Fofana,176,69,France
J. Weigl,187,80,Germany
M. Zajc,178,72,Slovenia
M. Pessina,183,75,Italy
21 M. Mandžukić,190,85,Croatia
21 M. Zaracho,171,65,Argentina
T. Arslan,180,77,Germany
Y. Herrera,184,77,Venezuela
N. Domínguez,179,73,Argentina
P. Aubameyang,187,80,Gabon
O. Dorley,174,66,Liberia
A. Espino,172,71,Uruguay
S. Larsson,178,70,Sweden
Ricardo Esgaio,172,73,Portugal
J. Frimpong,171,63,Netherlands
22 A. Gignac,189,85,France
K. Koné,185,80,France
J. Brandt,185,83,Germany
20 D. Basta,183,72,Serbia
21 Giuliano,172,76,Brazil
J. Bellegarde,172,70,France
J. Veerman,185,75,Netherlands
S. Lukić,183,77,Serbia
L. Augustinsson,181,72,Sweden
22 K. Fortounis,183,70,Greece
Palhinha,190,85,Portugal
J. Sambia,185,73,France
G. Prömel,184,81,Germany
S. Widmer,183,80,Switzerland
P. Olayinka,188,77,Nigeria
L. Menossi,169,70,Argentina
Castro,181,78,Portugal
B. Pavard,186,81,France
M. Normann,179,75,Norway
T. Bašić,190,82,Croatia
M. Hummels,191,94,Germany
A. Gouiri,180,72,France
W. Cyprien,180,78,France
É. Gutiérrez,178,68,Mexico
21 Douglas Costa,172,75,Brazil
R. Marin,178,75,Romania
L. De Silvestri,186,84,Italy
Miguel Veloso,180,79,Portugal
22 F. Delph,174,78,England
J. Bryan,173,75,England
22 D. Machís,174,74,Venezuela
M. Ritchie,172,76,Scotland
J. Moder,188,78,Poland
17 F. Lampard,184,89,England
20 I. Popov,182,71,Bulgaria
Douglas Augusto,174,68,Brazil
O. Wijndal,176,65,Netherlands
B. van den Boomen,190,83,Netherlands
R. Alessandrini,173,70,France
P. Lees-Melou,186,70,France
J. Martin,184,76,France
E. Piovi,168,68,Argentina
D. Ings,178,73,England
I. Schranz,185,73,Slovakia
R. Ripart,181,73,France
Dani Rodríguez,178,71,Spain
Melero,183,77,Spain
K. Tsimikas,179,68,Greece
A. Stach,194,88,Germany
U. Saltnes,187,78,Norway
A. Mac Allister,176,72,Argentina
Reguilón,178,68,Spain
Igor Coronado,170,65,Brazil
Y. Gerhardt,184,81,Germany
M. Kudus,177,70,Ghana
18 S. Eto'o,179,75,Cameroon
F. Zuqui,173,66,Argentina
Matheus Cunha,184,76,Brazil
D. Malen,178,77,Netherlands
22 M. Diamé,184,86,Senegal
J. Mojica,185,73,Colombia
O. Yokuşlu,191,79,Turkey
L. Masopust,179,76,Czech Republic
N. Lang,179,69,Netherlands
Ayoze Pérez,178,72,Spain
J. Grealish,180,81,England
Rodrigo,182,77,Spain
Denis Suárez,178,66,Spain
Gilberto,181,76,Brazil
F. Mollet,174,68,France
B. Acosta,173,73,Honduras
T. Fountas,170,65,Greece
David Silva,173,67,Spain
Bruno Peres,178,72,Brazil
P. Bočkaj,179,75,Croatia
17 Tiago,183,71,Portugal
Caio Henrique,179,70,Brazil
Emerson Royal,181,79,Brazil
22 A. Bouchalakis,186,79,Greece
N. Bentaleb,187,78,Algeria
D. Payet,175,77,France
D. Türüç,177,75,Turkey
S. Al Dawsari,173,71,Saudi Arabia
H. Traorè,177,77,Côte d'Ivoire
L. Kurzawa,182,74,France
D. Ljubičić,187,74,Austria
M. Thorsby,189,79,Norway
L. Hernández,184,79,France
M. Saracchi,172,68,Uruguay
T. Leibold,174,72,Germany
22 L. Bacuna,180,77,Curacao
N. Molina,175,70,Argentina
L. Insigne,163,59,Italy
A. Danjuma,178,74,Netherlands
Córdoba,180,76,Spain
N. Seiwald,179,70,Austria
D. Hancko,188,80,Slovakia
22 J. Wilshere,176,68,England
H. Lozano,175,70,Mexico
M. Isla,176,75,Chile
B. Sarr,178,71,Senegal
A. Delort,181,83,Algeria
13 D. Beckham,182,75,England
E. Elmas,184,74,North Macedonia
M. Camara,169,65,Mali
N. Capaldo,177,73,Argentina
J. Gallardo,176,73,Mexico
Thiago Silva,183,79,Brazil
H. Boudaoui,175,61,Algeria
S. Coleman,177,77,Republic of Ireland
D. Praet,181,78,Belgium
M. Zaccagni,177,63,Italy
B. Embolo,187,88,Switzerland
22 G. Castro,172,72,Germany
A. Rüdiger,190,85,Germany
C. Goodwin,180,72,Australia
D. Baselli,182,75,Italy
Gavi,173,68,Spain
J. Musiala,183,70,Germany
D. Nagbe,175,77,United States
Antony,174,63,Brazil
J. Iličić,190,79,Slovenia
22 J. Rodríguez,177,79,Uruguay
Adrià Pedrosa,176,69,Spain
H. Vanaken,195,80,Belgium
22 K. Malong,180,79,Cameroon
Escudero,176,72,Spain
Felipe Anderson,175,70,Brazil
J. Seri,168,73,Côte d'Ivoire
M. Doherty,182,87,Republic of Ireland
T. Pochettino,180,72,Argentina
W. Zaha,180,66,Côte d'Ivoire
K. Boateng,186,77,Ghana
Vitinha,173,65,Portugal
Dani Ceballos,179,68,Spain
Jean Lucas,181,78,Brazil
D. D'Ambrosio,180,75,Italy
J. De Sart,187,73,Belgium
W. Endo,178,77,Japan
22 C. Ansaldi,181,76,Argentina
D. Sinkgraven,179,67,Netherlands
M. Arambarri,175,74,Uruguay
J. Stage,185,83,Denmark
Y. Adli,186,78,France
16 Éverton Ribeiro,174,69,Brazil
Nailton Padrenda,180,75,Brazil
18 O. Shatov,173,73,Russia
N. Vlašić,178,79,Croatia
O. Lingr,175,70,Czech Republic
K. Zachariassen,180,74,Norway
T. Malacia,169,67,Netherlands
22 B. Romero,176,73,Argentina
22 Fábio Martins,180,72,Portugal
J. Ferri,173,73,France
C. Trimmel,189,82,Austria
M. Fellaini,194,85,Belgium
Heberto Gaúcho,181,82,Brazil
E. Ávila,172,81,Argentina
M. Elyounoussi,178,70,Norway
S. Arias,178,72,Colombia
22 Nacho Monreal,179,77,Spain
E. Valencia,177,74,Ecuador
22 R. Funes Mori,186,78,Mexico
22 B. Mendy,185,85,France
Dodô,166,68,Brazil
O. Dembélé,178,67,France
L. Muriel,179,79,Colombia
Sergio Busquets,189,76,Spain
A. Witsel,186,81,Belgium
Kenedy,182,77,Brazil
Bruno Henrique,179,75,Brazil
D. Aleksić,182,75,Serbia
Pedro Santos,178,76,Portugal
C. Stuani,186,76,Uruguay
21 R. Palacio,176,70,Argentina
T. Almada,171,62,Argentina
A. Mowatt,177,71,England
J. Willock,179,71,England
B. Barišić,186,80,Croatia
19 Jonas,181,74,Brazil
J. Lundstram,181,74,England
A. Cicâldău,178,76,Romania
Joelinton,186,81,Brazil
P. Schick,191,85,Czech Republic
C. Eriksen,181,76,Denmark
G. Til,186,78,Netherlands
V. Osimhen,185,78,Nigeria
P. Billing,197,80,Denmark
19 Tozé,165,68,Portugal
D. Mertens,169,61,Belgium
L. Baker,182,72,England
S. Dallas,180,79,Northern Ireland
K. Furuhashi,170,63,Japan
22 Santi Mina,181,77,Spain
S. Umtiti,182,75,France
A. Lallana,178,73,England
V. Grifo,180,76,Italy
M. Darmian,182,70,Italy
22 D. Cheryshev,179,74,Russia
Rafa,172,66,Portugal
Fidel,180,74,Spain
A. Bertolacci,179,72,Italy
Z. Flemming,185,84,Netherlands
22 S. Córdova,174,66,Mexico
I. Toney,187,76,England
M. Livaja,182,80,Croatia
S. Rode,180,71,Germany
E. Vecchio,178,80,Argentina
E. Sobol,186,76,Ukraine
L. Bittencourt,170,62,Germany
J. Karlsson,171,70,Sweden
Zubimendi,181,74,Spain
T. Werner,180,76,Germany
P. Rosario,188,73,Netherlands
M. Politano,171,67,Italy
F. Wirtz,176,70,Germany
Mama Baldé,176,69,Guinea Bissau
Cédric,172,67,Portugal
O. Ntcham,180,80,France
S. Dest,175,62,United States
E. Reynoso,176,67,Argentina
S. Simón,181,74,Argentina
Ö. Şahiner,175,70,Turkey
J. Dudziak,176,70,Tunisia
22 M. Meza,181,80,Argentina
Danilo,170,73,Brazil
Stephen Eustáquio,178,67,Canada
V. Kovalenko,182,75,Ukraine
T. Stepanenko,181,76,Ukraine
G. Escalante,182,76,Argentina
Iñigo Martínez,182,77,Spain
A. Ramsey,183,76,Wales
P. Arriola,168,66,United States
G. Krychowiak,186,79,Poland
Mario Hermoso,184,75,Spain
J. Bowen,175,70,England
S. Lainer,175,73,Austria
V. Berisha,176,81,Kosovo
B. Davies,181,76,Wales
J. Ayew,182,81,Ghana
D. Hotić,168,69,Bosnia and Herzegovina
C. Rodríguez,171,64,Mexico
P. Mantalos,176,73,Greece
A. Taarabt,181,77,Morocco
D. Szoboszlai,186,74,Hungary
A. Hahn,185,80,Germany
L. Melgarejo,178,75,Paraguay
G. Fernández,178,75,Argentina
E. Dier,190,90,England
M. Albrighton,175,74,England
Odriozola,176,66,Spain
Óscar Plano,180,75,Spain
R. Zalazar,178,78,Uruguay
Aleix Vidal,177,70,Spain
M. Klich,183,82,Poland
T. Chandler,187,84,United States
L. Fer,188,78,Netherlands
O. Watkins,180,78,England
J. Guðmundsson,179,77,Iceland
M. Samudio,174,78,Paraguay
R. Loftus-Cheek,191,88,England
N. Gavory,183,79,France
F. Schär,188,84,Switzerland
F. Kadioglu,174,73,Turkey
L. Garritano,172,67,Italy
R. Gauld,169,62,Scotland
X. Shaqiri,169,72,Switzerland
Guerrero,174,67,Spain
Nuno Santos,179,73,Portugal
Vinícius Jr.,176,73,Brazil
G. Vural,177,65,Turkey
G. Kamara,183,73,Finland
Montoya,175,73,Spain
Sequeira,184,79,Portugal
M. Aebischer,183,74,Switzerland
Rubén García,171,71,Spain
J. Shelvey,184,80,England
J. Bacuna,178,74,Curacao
R. McGree,178,72,Australia
A. Živković,169,62,Serbia
Y. Poulsen,192,84,Denmark
